,basicTB,ridgeTB,svmTB,basic,ridge,svm,sums,WAR,Wins
0,0.288697071898,0.285788764354,0.547086712334,0.27365165772,0.273375759257,0.553217481941,0.207984319646,0.290420666719,0.309090909091
1,0.284241158677,0.281824180244,0.784371406898,0.255221984605,0.255337950897,0.784002694703,0.221820053313,0.398809313324,0.272727272727
2,0.666877566584,0.653832883826,0.749546568148,0.661251361383,0.6569054884,0.734433896031,0.471180231769,0.643482130386,0.981818181818
3,0.455158229509,0.451364050247,0.773100343175,0.465984158896,0.465336119403,0.766979624626,0.301111294836,0.492002815073,0.690909090909
4,0.340693266395,0.326866643487,0.422529235386,0.364213408728,0.36044818381,0.420429948606,0.150078667548,0.252214307653,0.363636363636
5,0.189025221691,0.182665541082,0.20199131075,0.231108002168,0.228949469303,0.21448661584,0.0623985581983,0.0647592915936,0.2
6,0.233565525435,0.223871502717,0.431748027406,0.225586094898,0.22318436545,0.437801522044,0.116836176822,0.166737562039,0.563636363636
7,0.202959621273,0.194124047944,0.671532595297,0.215639312992,0.212320589088,0.672648613708,0.129758408946,0.199994169581,0.472727272727
8,0.288629767669,0.285960458815,0.0758077337689,0.310249974695,0.309754037241,0.0910064669417,0.133718506233,0.174978964409,0.563636363636
9,0.325878674946,0.31203525073,0.30562080447,0.323339508344,0.319068985028,0.310602006543,0.148848711042,0.18195606779,0.418181818182
10,0.460513736922,0.458773228687,0.172332758406,0.462424418238,0.463908509231,0.181069157057,0.354845940406,0.359591023533,0.709090909091
11,0.309169952973,0.301060121263,0.192179454249,0.286528860945,0.284577163124,0.206676962525,0.123967815103,0.146028278449,0.690909090909
12,0.370720511319,0.357560752048,0.538411533937,0.370959719524,0.366299931103,0.536949447662,0.227314896359,0.303195847643,0.127272727273
13,0.0877141476528,0.077705441317,0.680138585987,0.0717781282149,0.068793492335,0.683609646388,0.0341632320913,0.117494755074,0.254545454545
14,0.28235508005,0.274382867953,0.783860423214,0.296194446003,0.293371891184,0.779144797951,0.189157439589,0.336346121931,0.872727272727
15,0.535362676478,0.525518743985,0.523782628804,0.53018927358,0.52730263633,0.519538561209,0.359894789211,0.47294929215,0.672727272727
16,0.321767119943,0.324723937131,0.551207989158,0.300417042649,0.303080597441,0.561996564605,0.207791668041,0.312689888164,0.490909090909
17,0.479194440367,0.46987526356,0.533341241931,0.497311342839,0.495805447978,0.530375431009,0.246014447462,0.37799369648,0.418181818182
18,0.201309456723,0.189512808585,0.195543161912,0.222494435832,0.218596533444,0.205597787182,0.0748467581916,0.0629668167433,0.309090909091
19,0.290489678431,0.27933378088,0.0698294135547,0.279930667295,0.276868559882,0.0824670172065,0.132567840547,0.117498245482,0.636363636364
20,0.151444676141,0.145031365888,0.317166108387,0.133439754275,0.131908147922,0.330385448955,0.107904460883,0.0889296611539,0.363636363636
21,0.389177233286,0.382711775351,0.65464282047,0.330846348101,0.330070229586,0.657027888299,0.303785491251,0.378968226241,0.654545454545
22,0.151917388419,0.153597327823,0.198040744403,0.154022938167,0.156295010981,0.216038009971,0.161253212347,0.111014257009,0.636363636364
23,0.208786862618,0.195828346629,0.667188139392,0.1883201695,0.183461331208,0.668540705047,0.166981929475,0.186110084723,0.4
24,0.187444400751,0.181769812237,0.0786713867254,0.203837305277,0.203443927327,0.0929642624115,0.085095549151,0.0840032705254,0.381818181818
